GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,FIG001,FII001,FIJ001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","2000","Alabama","01","Autauga","001","Autauga, AL",9115,196839000,769
"G0100030","2000","Alabama","01","Baldwin","003","Baldwin, AL",44490,935060000,3872
"G0100050","2000","Alabama","01","Barbour","005","Barbour, AL",10942,240929000,577
"G0100070","2000","Alabama","01","Bibb","007","Bibb, AL",3403,72730000,331
"G0100090","2000","Alabama","01","Blount","009","Blount, AL",7868,174517000,742
"G0100110","2000","Alabama","01","Bullock","011","Bullock, AL",2356,44039000,136
"G0100130","2000","Alabama","01","Butler","013","Butler, AL",5287,108763000,504
"G0100150","2000","Alabama","01","Calhoun","015","Calhoun, AL",40614,898718000,2566
"G0100170","2000","Alabama","01","Chambers","017","Chambers, AL",11520,274392000,645
"G0100190","2000","Alabama","01","Cherokee","019","Cherokee, AL",3414,63807000,356
"G0100210","2000","Alabama","01","Chilton","021","Chilton, AL",6820,138198000,775
"G0100230","2000","Alabama","01","Choctaw","023","Choctaw, AL",3689,137508000,305
"G0100250","2000","Alabama","01","Clarke","025","Clarke, AL",7848,178374000,735
"G0100270","2000","Alabama","01","Clay","027","Clay, AL",4556,85479000,229
"G0100290","2000","Alabama","01","Cleburne","029","Cleburne, AL",2255,51422000,195
"G0100310","2000","Alabama","01","Coffee","031","Coffee, AL",13232,245307000,955
"G0100330","2000","Alabama","01","Colbert","033","Colbert, AL",19387,469016000,1360
"G0100350","2000","Alabama","01","Conecuh","035","Conecuh, AL",3767,87479000,259
"G0100370","2000","Alabama","01","Coosa","037","Coosa, AL",1430,32530000,128
"G0100390","2000","Alabama","01","Covington","039","Covington, AL",10920,252067000,917
"G0100410","2000","Alabama","01","Crenshaw","041","Crenshaw, AL",2942,57851000,256
"G0100430","2000","Alabama","01","Cullman","043","Cullman, AL",21824,503718000,1689
"G0100450","2000","Alabama","01","Dale","045","Dale, AL",10158,239955000,842
"G0100470","2000","Alabama","01","Dallas","047","Dallas, AL",15121,347701000,947
"G0100490","2000","Alabama","01","DeKalb","049","De Kalb, AL",21029,485520000,1214
"G0100510","2000","Alabama","01","Elmore","051","Elmore, AL",9372,175052000,1091
"G0100530","2000","Alabama","01","Escambia","053","Escambia, AL",11678,256670000,857
"G0100550","2000","Alabama","01","Etowah","055","Etowah, AL",34345,787878000,2155
"G0100570","2000","Alabama","01","Fayette","057","Fayette, AL",5337,121650000,349
"G0100590","2000","Alabama","01","Franklin","059","Franklin, AL",9845,198653000,604
"G0100610","2000","Alabama","01","Geneva","061","Geneva, AL",4410,81512000,456
"G0100630","2000","Alabama","01","Greene","063","Greene, AL",1317,25815000,134
"G0100650","2000","Alabama","01","Hale","065","Hale, AL",3206,74395000,230
"G0100670","2000","Alabama","01","Henry","067","Henry, AL",4185,92633000,325
"G0100690","2000","Alabama","01","Houston","069","Houston, AL",46243,1169756000,2780
"G0100710","2000","Alabama","01","Jackson","071","Jackson, AL",14789,351267000,894
"G0100730","2000","Alabama","01","Jefferson","073","Jefferson, AL",362120,11252997000,17466
"G0100750","2000","Alabama","01","Lamar","075","Lamar, AL",4843,128865000,289
"G0100770","2000","Alabama","01","Lauderdale","077","Lauderdale, AL",31275,650825000,2004
"G0100790","2000","Alabama","01","Lawrence","079","Lawrence, AL",5389,174411000,415
"G0100810","2000","Alabama","01","Lee","081","Lee, AL",32271,691620000,1992
"G0100830","2000","Alabama","01","Limestone","083","Limestone, AL",17309,559738000,1091
