GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CA8001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total employees
"G0100010","1971","Alabama","01","Autauga","001","Autauga, AL",2454
"G0100030","1971","Alabama","01","Baldwin","003","Baldwin, AL",8780
"G0100050","1971","Alabama","01","Barbour","005","Barbour, AL",4361
"G0100070","1971","Alabama","01","Bibb","007","Bibb, AL",1905
"G0100090","1971","Alabama","01","Blount","009","Blount, AL",3027
"G0100110","1971","Alabama","01","Bullock","011","Bullock, AL",1342
"G0100130","1971","Alabama","01","Butler","013","Butler, AL",4293
"G0100150","1971","Alabama","01","Calhoun","015","Calhoun, AL",22405
"G0100170","1971","Alabama","01","Chambers","017","Chambers, AL",11534
"G0100190","1971","Alabama","01","Cherokee","019","Cherokee, AL",1715
"G0100210","1971","Alabama","01","Chilton","021","Chilton, AL",2774
"G0100230","1971","Alabama","01","Choctaw","023","Choctaw, AL",3926
"G0100250","1971","Alabama","01","Clarke","025","Clarke, AL",5513
"G0100270","1971","Alabama","01","Clay","027","Clay, AL",1550
"G0100290","1971","Alabama","01","Cleburne","029","Cleburne, AL",1094
"G0100310","1971","Alabama","01","Coffee","031","Coffee, AL",6141
"G0100330","1971","Alabama","01","Colbert","033","Colbert, AL",16390
"G0100350","1971","Alabama","01","Conecuh","035","Conecuh, AL",2172
"G0100370","1971","Alabama","01","Coosa","037","Coosa, AL",951
"G0100390","1971","Alabama","01","Covington","039","Covington, AL",9152
"G0100410","1971","Alabama","01","Crenshaw","041","Crenshaw, AL",1729
"G0100430","1971","Alabama","01","Cullman","043","Cullman, AL",8838
"G0100450","1971","Alabama","01","Dale","045","Dale, AL",9440
"G0100470","1971","Alabama","01","Dallas","047","Dallas, AL",11346
"G0100490","1971","Alabama","01","DeKalb","049","De Kalb, AL",5616
"G0100510","1971","Alabama","01","Elmore","051","Elmore, AL",3180
"G0100530","1971","Alabama","01","Escambia","053","Escambia, AL",6822
"G0100550","1971","Alabama","01","Etowah","055","Etowah, AL",23101
"G0100570","1971","Alabama","01","Fayette","057","Fayette, AL",2713
"G0100590","1971","Alabama","01","Franklin","059","Franklin, AL",3695
"G0100610","1971","Alabama","01","Geneva","061","Geneva, AL",3046
"G0100630","1971","Alabama","01","Greene","063","Greene, AL",745
"G0100650","1971","Alabama","01","Hale","065","Hale, AL",1392
"G0100670","1971","Alabama","01","Henry","067","Henry, AL",2100
"G0100690","1971","Alabama","01","Houston","069","Houston, AL",17049
"G0100710","1971","Alabama","01","Jackson","071","Jackson, AL",6903
"G0100730","1971","Alabama","01","Jefferson","073","Jefferson, AL",206176
"G0100750","1971","Alabama","01","Lamar","075","Lamar, AL",2843
"G0100770","1971","Alabama","01","Lauderdale","077","Lauderdale, AL",10492
"G0100790","1971","Alabama","01","Lawrence","079","Lawrence, AL",2316
"G0100810","1971","Alabama","01","Lee","081","Lee, AL",11875
"G0100830","1971","Alabama","01","Limestone","083","Limestone, AL",3539
"G0100850","1971","Alabama","01","Lowndes","085","Lowndes, AL",1309
"G0100870","1971","Alabama","01","Macon","087","Macon, AL",2690
"G0100890","1971","Alabama","01","Madison","089","Madison, AL",40710
"G0100910","1971","Alabama","01","Marengo","091","Marengo, AL",4312
"G0100930","1971","Alabama","01","Marion","093","Marion, AL",6361
"G0100950","1971","Alabama","01","Marshall","095","Marshall, AL",10939
"G0100970","1971","Alabama","01","Mobile","097","Mobile, AL",76949
"G0100990","1971","Alabama","01","Monroe","099","Monroe, AL",5615
"G0101010","1971","Alabama","01","Montgomery","101","Montgomery, AL",48565
"G0101030","1971","Alabama","01","Morgan","103","Morgan, AL",22411
"G0101050","1971","Alabama","01","Perry","105","Perry, AL",1607
"G0101070","1971","Alabama","01","Pickens","107","Pickens, AL",3165
"G0101090","1971","Alabama","01","Pike","109","Pike, AL",4944
"G0101110","1971","Alabama","01","Randolph","111","Randolph, AL",2145
"G0101130","1971","Alabama","01","Russell","113","Russell, AL",5382
"G0101150","1971","Alabama","01","St Clair","115","St. Clair, AL",2448
"G0101170","1971","Alabama","01","Shelby","117","Shelby, AL",5809
"G0101190","1971","Alabama","01","Sumter","119","Sumter, AL",1751
"G0101210","1971","Alabama","01","Talladega","121","Talladega, AL",16750
"G0101230","1971","Alabama","01","Tallapoosa","123","Tallapoosa, AL",12734
"G0101250","1971","Alabama","01","Tuscaloosa","125","Tuscaloosa, AL",25232
"G0101270","1971","Alabama","01","Walker","127","Walker, AL",9884
"G0101290","1971","Alabama","01","Washington","129","Washington, AL",3153
"G0101310","1971","Alabama","01","Wilcox","131","Wilcox, AL",2075
"G0101330","1971","Alabama","01","Winston","133","Winston, AL",5960
"G0109990","1971","Alabama","01","Remainder of Alabama","999","Alabama Statewide No Fixed Loc",8633
"G0200100","1971","Alaska","02","Aleutian Islands","010","Aleutian Islands, AK",265
"G0200200","1971","Alaska","02","Anchorage","020","Anchorage, AK",25832
"G0200300","1971","Alaska","02","Angoon","030","Angoon, AK",374
"G0200400","1971","Alaska","02","Barrow","040","Barrow, AK",332
"G0200500","1971","Alaska","02","Bethel","050","Bethel, AK",147
