GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,FIG001,FII001,FIJ001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","2001","Alabama","01","Autauga","001","Autauga, AL",9189,219788000,795
"G0100030","2001","Alabama","01","Baldwin","003","Baldwin, AL",43734,946212000,3910
"G0100050","2001","Alabama","01","Barbour","005","Barbour, AL",10516,238196000,575
"G0100070","2001","Alabama","01","Bibb","007","Bibb, AL",3294,68819000,330
"G0100090","2001","Alabama","01","Blount","009","Blount, AL",8131,179506000,720
"G0100110","2001","Alabama","01","Bullock","011","Bullock, AL",2122,42531000,136
"G0100130","2001","Alabama","01","Butler","013","Butler, AL",5311,110830000,488
"G0100150","2001","Alabama","01","Calhoun","015","Calhoun, AL",39752,924849000,2555
"G0100170","2001","Alabama","01","Chambers","017","Chambers, AL",10850,270651000,623
"G0100190","2001","Alabama","01","Cherokee","019","Cherokee, AL",3290,67488000,354
"G0100210","2001","Alabama","01","Chilton","021","Chilton, AL",6903,141937000,745
"G0100230","2001","Alabama","01","Choctaw","023","Choctaw, AL",3643,139413000,311
"G0100250","2001","Alabama","01","Clarke","025","Clarke, AL",7473,179335000,705
"G0100270","2001","Alabama","01","Clay","027","Clay, AL",4394,86826000,227
"G0100290","2001","Alabama","01","Cleburne","029","Cleburne, AL",2317,49238000,186
"G0100310","2001","Alabama","01","Coffee","031","Coffee, AL",11400,235788000,940
"G0100330","2001","Alabama","01","Colbert","033","Colbert, AL",18709,433506000,1316
"G0100350","2001","Alabama","01","Conecuh","035","Conecuh, AL",3710,86757000,238
"G0100370","2001","Alabama","01","Coosa","037","Coosa, AL",1270,30783000,116
"G0100390","2001","Alabama","01","Covington","039","Covington, AL",11013,250377000,889
"G0100410","2001","Alabama","01","Crenshaw","041","Crenshaw, AL",2716,56898000,244
"G0100430","2001","Alabama","01","Cullman","043","Cullman, AL",22526,537143000,1677
"G0100450","2001","Alabama","01","Dale","045","Dale, AL",9823,257999000,825
"G0100470","2001","Alabama","01","Dallas","047","Dallas, AL",14933,345958000,913
"G0100490","2001","Alabama","01","DeKalb","049","De Kalb, AL",21910,497810000,1208
"G0100510","2001","Alabama","01","Elmore","051","Elmore, AL",10225,204624000,1052
"G0100530","2001","Alabama","01","Escambia","053","Escambia, AL",11144,251688000,828
"G0100550","2001","Alabama","01","Etowah","055","Etowah, AL",32845,770019000,2133
