GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1985","Alabama","01","Autauga","001","Autauga, AL",5115,79039000,474
"G0100030","1985","Alabama","01","Baldwin","003","Baldwin, AL",18274,218943000,2151
"G0100050","1985","Alabama","01","Barbour","005","Barbour, AL",5745,71838000,493
"G0100070","1985","Alabama","01","Bibb","007","Bibb, AL",2735,29789000,247
"G0100090","1985","Alabama","01","Blount","009","Blount, AL",4578,54736000,470
"G0100110","1985","Alabama","01","Bullock","011","Bullock, AL",1614,18797000,167
"G0100130","1985","Alabama","01","Butler","013","Butler, AL",5373,67775000,444
"G0100150","1985","Alabama","01","Calhoun","015","Calhoun, AL",29169,404241000,2150
"G0100170","1985","Alabama","01","Chambers","017","Chambers, AL",10766,153757000,548
"G0100190","1985","Alabama","01","Cherokee","019","Cherokee, AL",2736,30661000,278
"G0100210","1985","Alabama","01","Chilton","021","Chilton, AL",4694,57138000,532
"G0100230","1985","Alabama","01","Choctaw","023","Choctaw, AL",4116,89529000,300
"G0100250","1985","Alabama","01","Clarke","025","Clarke, AL",6420,85766000,613
"G0100270","1985","Alabama","01","Clay","027","Clay, AL",2519,30365000,209
"G0100290","1985","Alabama","01","Cleburne","029","Cleburne, AL",1867,23577000,158
"G0100310","1985","Alabama","01","Coffee","031","Coffee, AL",9381,109665000,852
"G0100330","1985","Alabama","01","Colbert","033","Colbert, AL",16126,285243000,1216
"G0100350","1985","Alabama","01","Conecuh","035","Conecuh, AL",2914,32940000,258
"G0100370","1985","Alabama","01","Coosa","037","Coosa, AL",1429,21606000,126
"G0100390","1985","Alabama","01","Covington","039","Covington, AL",10439,123022000,865
"G0100410","1985","Alabama","01","Crenshaw","041","Crenshaw, AL",2554,28279000,244
"G0100430","1985","Alabama","01","Cullman","043","Cullman, AL",13765,187225000,1205
"G0100450","1985","Alabama","01","Dale","045","Dale, AL",6641,81922000,684
