GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,DZ6001,DZ8001,DZ9001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1990","Alabama","01","Autauga","001","Autauga, AL",6639,113622000,585
"G0100030","1990","Alabama","01","Baldwin","003","Baldwin, AL",23368,328766000,2384
"G0100050","1990","Alabama","01","Barbour","005","Barbour, AL",7711,112989000,515
"G0100070","1990","Alabama","01","Bibb","007","Bibb, AL",3318,47120000,264
"G0100090","1990","Alabama","01","Blount","009","Blount, AL",6472,82238000,515
"G0100110","1990","Alabama","01","Bullock","011","Bullock, AL",1954,24896000,143
"G0100130","1990","Alabama","01","Butler","013","Butler, AL",4726,71876000,435
"G0100150","1990","Alabama","01","Calhoun","015","Calhoun, AL",33433,546696000,2299
"G0100170","1990","Alabama","01","Chambers","017","Chambers, AL",11815,194072000,531
"G0100190","1990","Alabama","01","Cherokee","019","Cherokee, AL",3500,49381000,288
"G0100210","1990","Alabama","01","Chilton","021","Chilton, AL",5556,75354000,612
"G0100230","1990","Alabama","01","Choctaw","023","Choctaw, AL",4610,125375000,317
"G0100250","1990","Alabama","01","Clarke","025","Clarke, AL",7209,119323000,614
"G0100270","1990","Alabama","01","Clay","027","Clay, AL",3342,48605000,221
"G0100290","1990","Alabama","01","Cleburne","029","Cleburne, AL",1887,25269000,157
"G0100310","1990","Alabama","01","Coffee","031","Coffee, AL",11847,156770000,845
"G0100330","1990","Alabama","01","Colbert","033","Colbert, AL",18407,363228000,1279
"G0100350","1990","Alabama","01","Conecuh","035","Conecuh, AL",3022,45638000,238
"G0100370","1990","Alabama","01","Coosa","037","Coosa, AL",1346,23410000,126
"G0100390","1990","Alabama","01","Covington","039","Covington, AL",11854,165992000,836
"G0100410","1990","Alabama","01","Crenshaw","041","Crenshaw, AL",2989,36624000,221
"G0100430","1990","Alabama","01","Cullman","043","Cullman, AL",17656,276262000,1336
"G0100450","1990","Alabama","01","Dale","045","Dale, AL",10602,190286000,716
"G0100470","1990","Alabama","01","Dallas","047","Dallas, AL",13627,216444000,982
"G0100490","1990","Alabama","01","DeKalb","049","De Kalb, AL",16422,254934000,1038
"G0100510","1990","Alabama","01","Elmore","051","Elmore, AL",7641,101048000,743
"G0100530","1990","Alabama","01","Escambia","053","Escambia, AL",9393,156352000,777
"G0100550","1990","Alabama","01","Etowah","055","Etowah, AL",31219,589928000,1948
"G0100570","1990","Alabama","01","Fayette","057","Fayette, AL",4701,85124000,325
"G0100590","1990","Alabama","01","Franklin","059","Franklin, AL",7364,109418000,540
"G0100610","1990","Alabama","01","Geneva","061","Geneva, AL",4633,66201000,396
"G0100630","1990","Alabama","01","Greene","063","Greene, AL",1415,17668000,145
"G0100650","1990","Alabama","01","Hale","065","Hale, AL",2444,30341000,197
"G0100670","1990","Alabama","01","Henry","067","Henry, AL",3984,58204000,308
"G0100690","1990","Alabama","01","Houston","069","Houston, AL",37490,649137000,2403
"G0100710","1990","Alabama","01","Jackson","071","Jackson, AL",11360,195586000,805
"G0100730","1990","Alabama","01","Jefferson","073","Jefferson, AL",332538,7660230000,17565
"G0100750","1990","Alabama","01","Lamar","075","Lamar, AL",5316,85793000,299
"G0100770","1990","Alabama","01","Lauderdale","077","Lauderdale, AL",24141,345387000,1794
"G0100790","1990","Alabama","01","Lawrence","079","Lawrence, AL",3815,96573000,320
"G0100810","1990","Alabama","01","Lee","081","Lee, AL",27683,439934000,1611
"G0100830","1990","Alabama","01","Limestone","083","Limestone, AL",14048,307652000,825
"G0100850","1990","Alabama","01","Lowndes","085","Lowndes, AL",1535,28233000,128
"G0100870","1990","Alabama","01","Macon","087","Macon, AL",5663,86100000,249
"G0100890","1990","Alabama","01","Madison","089","Madison, AL",100398,2277249000,5695
