GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,CA8001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total employees
"G0500890","1970","Arkansas","05","Marion","089","Marion, AR",360
"G0500910","1970","Arkansas","05","Miller","091","Miller, AR",6068
"G0500930","1970","Arkansas","05","Mississippi","093","Mississippi, AR",10463
"G0500950","1970","Arkansas","05","Monroe","095","Monroe, AR",1796
"G0500970","1970","Arkansas","05","Montgomery","097","Montgomery, AR",474
"G0500990","1970","Arkansas","05","Nevada","099","Nevada, AR",1364
"G0501010","1970","Arkansas","05","Newton","101","Newton, AR",139
"G0501030","1970","Arkansas","05","Ouachita","103","Ouachita, AR",7459
"G0501050","1970","Arkansas","05","Perry","105","Perry, AR",204
"G0501070","1970","Arkansas","05","Phillips","107","Phillips, AR",5820
"G0501090","1970","Arkansas","05","Pike","109","Pike, AR",1151
"G0501110","1970","Arkansas","05","Poinsett","111","Poinsett, AR",4651
"G0501130","1970","Arkansas","05","Polk","113","Polk, AR",3030
"G0501150","1970","Arkansas","05","Pope","115","Pope, AR",6085
"G0501170","1970","Arkansas","05","Prairie","117","Prairie, AR",1046
"G0501190","1970","Arkansas","05","Pulaski","119","Pulaski, AR",90647
"G0501210","1970","Arkansas","05","Randolph","121","Randolph, AR",2092
"G0501230","1970","Arkansas","05","St Francis","123","St. Francis, AR",6032
"G0501250","1970","Arkansas","05","Saline","125","Saline, AR",6601
"G0501270","1970","Arkansas","05","Scott","127","Scott, AR",1366
"G0501290","1970","Arkansas","05","Searcy","129","Searcy, AR",841
"G0501310","1970","Arkansas","05","Sebastian","131","Sebastian, AR",32888
"G0501330","1970","Arkansas","05","Sevier","133","Sevier, AR",2335
"G0501350","1970","Arkansas","05","Sharp","135","Sharp, AR",661
"G0501370","1970","Arkansas","05","Stone","137","Stone, AR",338
"G0501390","1970","Arkansas","05","Union","139","Union, AR",12043
"G0501410","1970","Arkansas","05","Van Buren","141","Van Buren, AR",945
"G0501430","1970","Arkansas","05","Washington","143","Washington, AR",19107
"G0501450","1970","Arkansas","05","White","145","White, AR",5992
"G0501470","1970","Arkansas","05","Woodruff","147","Woodruff, AR",1368
"G0501490","1970","Arkansas","05","Yell","149","Yell, AR",2980
"G0509990","1970","Arkansas","05","Remainder of Arkansas","999","Arkansas Statewide No Fixed Loc",4565
"G0600010","1970","California","06","Alameda","001","Alameda, CA",294814
"G0600030","1970","California","06","Alpine","003","Alpine, CA",66
"G0600050","1970","California","06","Amador","005","Amador, CA",1822
"G0600070","1970","California","06","Butte","007","Butte, CA",15645
"G0600090","1970","California","06","Calaveras","009","Calaveras, CA",1730
"G0600110","1970","California","06","Colusa","011","Colusa, CA",1747
"G0600130","1970","California","06","Contra Costa","013","Contra Costa, CA",96912
"G0600150","1970","California","06","Del Norte","015","Del Norte, CA",3054
"G0600170","1970","California","06","El Dorado","017","El Dorado, CA",6507
"G0600190","1970","California","06","Fresno","019","Fresno, CA",81880
"G0600210","1970","California","06","Glenn","021","Glenn, CA",2475
"G0600230","1970","California","06","Humboldt","023","Humboldt, CA",21227
"G0600250","1970","California","06","Imperial","025","Imperial, CA",11866
"G0600270","1970","California","06","Inyo","027","Inyo, CA",3303
"G0600290","1970","California","06","Kern","029","Kern, CA",62047
"G0600310","1970","California","06","Kings","031","Kings, CA",7783
"G0600330","1970","California","06","Lake","033","Lake, CA",1941
"G0600350","1970","California","06","Lassen","035","Lassen, CA",1924
"G0600370","1970","California","06","Los Angeles","037","Los Angeles, CA",2491889
"G0600390","1970","California","06","Madera","039","Madera, CA",4718
