GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,C4S001,C4U001,C4V001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1987","Alabama","01","Autauga","001","Autauga, AL",5721,94649000,534
"G0100030","1987","Alabama","01","Baldwin","003","Baldwin, AL",19756,256924000,2202
"G0100050","1987","Alabama","01","Barbour","005","Barbour, AL",6259,92386000,493
"G0100070","1987","Alabama","01","Bibb","007","Bibb, AL",3025,36353000,250
"G0100090","1987","Alabama","01","Blount","009","Blount, AL",3979,50810000,496
"G0100110","1987","Alabama","01","Bullock","011","Bullock, AL",1724,20456000,158
"G0100130","1987","Alabama","01","Butler","013","Butler, AL",5696,76084000,424
"G0100150","1987","Alabama","01","Calhoun","015","Calhoun, AL",30040,434470000,2180
"G0100170","1987","Alabama","01","Chambers","017","Chambers, AL",11511,185784000,535
"G0100190","1987","Alabama","01","Cherokee","019","Cherokee, AL",3069,37185000,272
"G0100210","1987","Alabama","01","Chilton","021","Chilton, AL",4891,61920000,578
"G0100230","1987","Alabama","01","Choctaw","023","Choctaw, AL",4640,111181000,321
"G0100250","1987","Alabama","01","Clarke","025","Clarke, AL",6888,99214000,635
"G0100270","1987","Alabama","01","Clay","027","Clay, AL",2444,32847000,217
"G0100290","1987","Alabama","01","Cleburne","029","Cleburne, AL",2090,23380000,154
"G0100310","1987","Alabama","01","Coffee","031","Coffee, AL",9784,133420000,882
"G0100330","1987","Alabama","01","Colbert","033","Colbert, AL",16015,291845000,1228
"G0100350","1987","Alabama","01","Conecuh","035","Conecuh, AL",2240,31955000,235
"G0100370","1987","Alabama","01","Coosa","037","Coosa, AL",1438,23450000,126
"G0100390","1987","Alabama","01","Covington","039","Covington, AL",10944,146505000,842
"G0100410","1987","Alabama","01","Crenshaw","041","Crenshaw, AL",3005,34855000,230
"G0100430","1987","Alabama","01","Cullman","043","Cullman, AL",15735,235809000,1271
"G0100450","1987","Alabama","01","Dale","045","Dale, AL",9057,136644000,718
