GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,FIG001,FII001,FIJ001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area Name,Total mid-March employees,Total annual payroll,Total number of establishments
"G0100010","1999","Alabama","01","Autauga","001","Autauga, AL",9143,202499000,775
"G0100030","1999","Alabama","01","Baldwin","003","Baldwin, AL",42848,871703000,3837
"G0100050","1999","Alabama","01","Barbour","005","Barbour, AL",10169,242465000,610
"G0100070","1999","Alabama","01","Bibb","007","Bibb, AL",3383,71369000,341
"G0100090","1999","Alabama","01","Blount","009","Blount, AL",7817,161719000,738
"G0100110","1999","Alabama","01","Bullock","011","Bullock, AL",2393,44794000,141
"G0100130","1999","Alabama","01","Butler","013","Butler, AL",5753,113438000,526
"G0100150","1999","Alabama","01","Calhoun","015","Calhoun, AL",40241,863514000,2568
"G0100170","1999","Alabama","01","Chambers","017","Chambers, AL",11619,271766000,657
"G0100190","1999","Alabama","01","Cherokee","019","Cherokee, AL",2985,59952000,365
"G0100210","1999","Alabama","01","Chilton","021","Chilton, AL",6611,131681000,767
"G0100230","1999","Alabama","01","Choctaw","023","Choctaw, AL",3548,138940000,311
"G0100250","1999","Alabama","01","Clarke","025","Clarke, AL",8066,180597000,739
"G0100270","1999","Alabama","01","Clay","027","Clay, AL",4390,88215000,228
"G0100290","1999","Alabama","01","Cleburne","029","Cleburne, AL",2121,50903000,188
"G0100310","1999","Alabama","01","Coffee","031","Coffee, AL",13416,248953000,986
"G0100330","1999","Alabama","01","Colbert","033","Colbert, AL",18614,451505000,1356
"G0100350","1999","Alabama","01","Conecuh","035","Conecuh, AL",3325,75576000,265
"G0100370","1999","Alabama","01","Coosa","037","Coosa, AL",1495,33096000,128
"G0100390","1999","Alabama","01","Covington","039","Covington, AL",11159,237276000,907
"G0100410","1999","Alabama","01","Crenshaw","041","Crenshaw, AL",2615,49893000,262
"G0100430","1999","Alabama","01","Cullman","043","Cullman, AL",23047,519383000,1720
"G0100450","1999","Alabama","01","Dale","045","Dale, AL",10700,245896000,874
"G0100470","1999","Alabama","01","Dallas","047","Dallas, AL",15288,342903000,973
"G0100490","1999","Alabama","01","DeKalb","049","De Kalb, AL",20776,452150000,1241
"G0100510","1999","Alabama","01","Elmore","051","Elmore, AL",9962,183577000,1058
"G0100530","1999","Alabama","01","Escambia","053","Escambia, AL",11130,242331000,865
"G0100550","1999","Alabama","01","Etowah","055","Etowah, AL",33152,765642000,2198
"G0100570","1999","Alabama","01","Fayette","057","Fayette, AL",5447,126122000,359
"G0100590","1999","Alabama","01","Franklin","059","Franklin, AL",9879,200743000,616
"G0100610","1999","Alabama","01","Geneva","061","Geneva, AL",4425,83413000,467
"G0100630","1999","Alabama","01","Greene","063","Greene, AL",1304,24405000,131
"G0100650","1999","Alabama","01","Hale","065","Hale, AL",2996,60010000,224
"G0100670","1999","Alabama","01","Henry","067","Henry, AL",4133,88628000,320
"G0100690","1999","Alabama","01","Houston","069","Houston, AL",46376,1135591000,2816
"G0100710","1999","Alabama","01","Jackson","071","Jackson, AL",13641,328160000,886
"G0100730","1999","Alabama","01","Jefferson","073","Jefferson, AL",359434,10869255000,17613
"G0100750","1999","Alabama","01","Lamar","075","Lamar, AL",5141,131656000,284
"G0100770","1999","Alabama","01","Lauderdale","077","Lauderdale, AL",31141,621679000,2048
"G0100790","1999","Alabama","01","Lawrence","079","Lawrence, AL",5517,194007000,421
"G0100810","1999","Alabama","01","Lee","081","Lee, AL",30768,660441000,2021
"G0100830","1999","Alabama","01","Limestone","083","Limestone, AL",16713,568054000,1082
"G0100850","1999","Alabama","01","Lowndes","085","Lowndes, AL",2119,81671000,159
"G0100870","1999","Alabama","01","Macon","087","Macon, AL",6287,142394000,235
"G0100890","1999","Alabama","01","Madison","089","Madison, AL",123197,3797266000,7124
"G0100910","1999","Alabama","01","Marengo","091","Marengo, AL",6353,161546000,503
"G0100930","1999","Alabama","01","Marion","093","Marion, AL",10498,234137000,726
"G0100950","1999","Alabama","01","Marshall","095","Marshall, AL",32870,704444000,2005
